"State","Year","Total_Pop_Dis","Percent.Adults.19.64.Uninsured","Health.Spending.per.Capita","Type","Percent","RegionalPriDef","Home.Avg.Premium","Rank..Home.","Renters.Avg.Premium","Rank..Renters.","Total_Residents","Median.Income","Percent_white","Avg_Home_Price","Count.of.Counties","Total_Buidling_Value","National_Risk_Index_Score_Composite","Expected.Annual.Loss...Score...Composite","Agriculture.Value","Total_Value","Social","Community","Is_Coastal","coastal_flood","dense_fog","drought","dust_devil","excessive_heat","flash_flood","flood","frost/freeze","funnel_cloud","hail","heavy_rain","heavy_snow","high_wind","lightning","rip_current","storm_surge/tide","strong_wind","thunderstorm_wind","tornado","tropical_depression","tropical_storm","winter_storm","winter_weather","cold/wind_chill","debris_flow","freezing_fog","high_surf","heat","wildfire","ice_storm","sleet","extreme_cold/wind_chill","hurricane","astronomical_low_tide","avalanche","blizzard","dense_smoke","tsunami","hurricane_(typhoon)","seiche","dust_storm","marine_hail","marine_high_wind","marine_strong_wind","marine_thunderstorm_wind","waterspout","marine_tropical_storm","marine_dense_fog","marine_hurricane/typhoon","marine_tropical_depression","sneakerwave","marine_lightning","volcanic_ashfall","lake-effect_snow","lakeshore_flood","total_damage_property.x","total_damage_crops.x","damage_property_coastal_flood","damage_property_dense_fog","damage_property_drought","damage_property_dust_devil","damage_property_excessive_heat","damage_property_flash_flood","damage_property_flood","damage_property_frost/freeze","damage_property_funnel_cloud","damage_property_hail","damage_property_heavy_rain","damage_property_heavy_snow","damage_property_high_wind","damage_property_lightning","damage_property_rip_current","damage_property_storm_surge/tide","damage_property_strong_wind","damage_property_thunderstorm_wind","damage_property_tornado","damage_property_tropical_depression","damage_property_tropical_storm","damage_property_winter_storm","damage_property_winter_weather","damage_property_cold/wind_chill","damage_property_debris_flow","damage_property_freezing_fog","damage_property_high_surf","damage_property_heat","damage_property_wildfire","damage_property_ice_storm","damage_property_sleet","damage_property_extreme_cold/wind_chill","damage_property_hurricane","damage_property_astronomical_low_tide","damage_property_avalanche","damage_property_blizzard","damage_property_dense_smoke","damage_property_tsunami","damage_property_hurricane_(typhoon)","damage_property_seiche","damage_property_dust_storm","damage_property_marine_hail","damage_property_marine_high_wind","damage_property_marine_strong_wind","damage_property_marine_thunderstorm_wind","damage_property_waterspout","damage_property_marine_tropical_storm","damage_property_marine_dense_fog","damage_property_marine_hurricane/typhoon","damage_property_marine_tropical_depression","damage_property_sneakerwave","damage_property_marine_lightning","damage_property_volcanic_ashfall","damage_property_lake-effect_snow","damage_property_lakeshore_flood","damage_crops_coastal_flood","damage_crops_dense_fog","damage_crops_drought","damage_crops_dust_devil","damage_crops_excessive_heat","damage_crops_flash_flood","damage_crops_flood","damage_crops_frost/freeze","damage_crops_funnel_cloud","damage_crops_hail","damage_crops_heavy_rain","damage_crops_heavy_snow","damage_crops_high_wind","damage_crops_lightning","damage_crops_rip_current","damage_crops_storm_surge/tide","damage_crops_strong_wind","damage_crops_thunderstorm_wind","damage_crops_tornado","damage_crops_tropical_depression","damage_crops_tropical_storm","damage_crops_winter_storm","damage_crops_winter_weather","damage_crops_cold/wind_chill","damage_crops_debris_flow","damage_crops_freezing_fog","damage_crops_high_surf","damage_crops_heat","damage_crops_wildfire","damage_crops_ice_storm","damage_crops_sleet","damage_crops_extreme_cold/wind_chill","damage_crops_hurricane","damage_crops_astronomical_low_tide","damage_crops_avalanche","damage_crops_blizzard","damage_crops_dense_smoke","damage_crops_tsunami","damage_crops_hurricane_(typhoon)","damage_crops_seiche","damage_crops_dust_storm","damage_crops_marine_hail","damage_crops_marine_high_wind","damage_crops_marine_strong_wind","damage_crops_marine_thunderstorm_wind","damage_crops_waterspout","damage_crops_marine_tropical_storm","damage_crops_marine_dense_fog","damage_crops_marine_hurricane/typhoon","damage_crops_marine_tropical_depression","damage_crops_sneakerwave","damage_crops_marine_lightning","damage_crops_volcanic_ashfall","damage_crops_lake-effect_snow","damage_crops_lakeshore_flood","total_damage_property.y","total_damage_crops.y"
"Alabama","2008",0.6066,0.1928,6100,"Medicaid",0.142762,"79.229",845,14,199,11,4526900,51999,0.6867,133632.5343,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,1,1,364,1,3,67,7,33,13,284,15,15,13,26,5,5,25,614,112,43,14,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41885550,7000,0,20000,0,5000,0,579500,5000,0,0,33000,0,0,120000,514250,0,5500000,380000,6909300,27591500,128000,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41885550,7000
"Alabama","2009",0.6064,0.201,6322,"Medicaid",0.176887,"78.006",987,11,216,8,4569100,46905,0.6831,128651.7931,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,1,0,0,0,9,247,44,22,15,358,8,22,22,26,0,1,59,773,91,34,0,0,13,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47436750,0,0,0,0,0,0,13009500,2687000,0,0,162000,1000,0,2562000,2997000,0,0,1425500,6665250,9744500,83000,0,0,0,0,1e+05,0,8e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47436750,0
"Alabama","2010",0.6083,0.2154,6406,"Medicaid",0.181158,"81.174",1050,10,223,6,4651400,47244,0.6735,123498.553,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,0,0,108,0,8,97,13,0,6,177,17,53,2,47,1,0,5,459,46,0,0,40,133,0,1,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34548100,375000,0,0,0,0,0,1191000,2018000,0,0,450000,23500,0,26000,1411000,0,0,19000,3937600,25369000,0,0,0,0,0,0,0,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34548100,375000
"Alabama","2011",0.6089,0.2079,6513,"Medicaid",0.183408,"83.482",1163,6,230,4,4676000,47654,0.6693,117790.4422,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,1,0,295,0,3,135,24,8,6,353,24,37,10,47,1,0,44,1153,217,0,0,13,34,0,3,0,0,28,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875324850,3e+06,0,0,0,0,0,567000,35000,0,0,2928500,37000,300,135000,1686000,0,0,301600,7223750,1862373700,0,0,0,10000,0,20000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875324850,3e+06
"Alabama","2012",0.6064,0.201,6797,"Medicaid",0.19242,"85.568",1248,6,239,3,4696000,47624,0.6699,119543.1424,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,0,1,239,0,6,90,3,15,9,393,38,0,2,36,3,0,3,596,67,0,2,0,8,0,0,0,0,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7445050,5000,0,0,0,0,0,343000,15000,0,2000,0,75000,0,20000,1134000,0,0,26000,4241050,1589000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7445050,5000
"Alabama","2013",0.6032,0.205,6969,"Medicaid",0.1899,"86.464",1323,8,245,4,4705800,44679,0.6664,126729.3859,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,0,1,43,0,0,138,38,13,1,121,12,16,4,17,2,0,26,429,28,0,0,0,36,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8394450,6000,0,0,0,0,0,631000,3250000,0,0,5000,0,0,18000,1319500,0,0,145750,1250200,1770000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8394450,6000
"Alabama","2014",0.6033,0.182,7277,"Medicaid",0.1942,"87.542",1340,8,245,5,4714100,44888,0.6638,130889.4232,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,0,0,0,0,0,69,22,28,0,68,9,20,0,10,3,0,5,424,67,0,0,43,32,59,0,0,0,0,3,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38215160,0,0,0,0,0,0,33735000,883460,0,0,10500,0,0,0,110000,0,0,13000,1473200,990000,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38215160,0
"Alabama","2015",0.599,0.157,7657,"Medicaid",0.20057,"87.284",1358,12,242,3,4730100,47175,0.662,132745.5523,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,2,0,0,1,1,103,20,11,3,112,2,14,1,14,1,0,6,436,35,0,0,22,57,8,0,5,1,9,1,11,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14794500,0,0,0,0,0,0,1761000,7711000,0,0,0,0,0,1000,295000,0,0,20000,3681500,1325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14794500,0
"Alabama","2016",0.5974,0.143,7968,"Medicaid",0.201428,"89.026",1386,12,245,4,4730100,49412,0.66,137528.7509,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,0,0,284,1,2,54,17,11,1,55,2,2,4,11,1,0,5,427,76,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4307700,200,0,0,0,2000,0,30000,170000,0,0,0,0,0,5000,121000,0,0,1025500,1106200,1848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4307700,200
"Alabama","2017",0.5947,0.147,8154,"Medicaid",0.206244,"90.098",1433,12,235,3,4741400,52105,0.6578,141516.5276,67,9.31e+11,59.04901201,1284654551,6859651997,8144306548,67.45164164,34.68238795,1,4,0,93,0,0,132,24,11,2,201,6,5,2,10,4,8,9,630,68,0,43,29,15,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31592800,0,0,0,0,0,0,3275000,0,0,0,0,0,0,0,150000,0,19528000,54500,3713300,2242000,0,2610000,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31592800,0
